developer,project,lender,date,status,account
1510,4,1510,3/1/2020,delivered,HX7421879-J1P2
1510,4,1511,2/23/2020,delivered,TU9757678-X7J3
1510,4,1511,3/30/2020,delivered,LK2761634-U4K2
1510,4,1511,1/4/2020,delivered,PL6165579-R5A9
1510,4,1514,4/17/2020,delivered,RM8958882-W9U1
1510,4,1510,1/12/2020,delivered,MJ5143982-U3D5
1510,4,1510,3/21/2020,delivered,BW2293957-B4R4
1510,4,1514,1/17/2020,delivered,RK5439632-R8I2
1510,4,1510,3/15/2020,delivered,LP8067211-B8D6
1510,4,1513,4/14/2020,delivered,TU7149406-W6I3
1510,4,1510,4/20/2020,bounce,SU7117522-X9W9
1510,4,1513,2/28/2020,delivered,JU4680439-D5X2
1510,4,1514,3/5/2020,delivered,SL9882003-L8N9
1510,4,1510,3/16/2020,delivered,WR7342961-Z0S2
1510,4,1514,3/7/2020,delivered,FH4083515-K0O9
1510,4,1513,1/29/2020,delivered,ZT9702278-E2J9
1510,4,1511,2/27/2020,delivered,JR6246058-B4G5
1510,4,1511,1/18/2020,bounce,QI1395306-R7Y4
1510,4,1510,2/13/2020,delivered,VJ3905229-U2B6
1510,4,1510,2/10/2020,delivered,KI7632639-V9G6
1510,4,1510,1/7/2020,delivered,YR9339571-C4R8
1510,4,1511,3/6/2020,delivered,NO5840139-K6U6
1510,4,1514,2/2/2020,failed,NQ8454468-D4L6
1510,4,1513,1/19/2020,delivered,EP0383689-S1E0
1510,4,1514,4/19/2020,delivered,NB0962983-D1N3
1510,4,1511,4/18/2020,delivered,DM6669419-O3I9
1510,4,1510,4/22/2020,bounce,XG6238609-R8D5
1510,4,1510,2/11/2020,bounce,AR7181117-E5J8
1510,4,1513,3/11/2020,delivered,MW6856956-H4G2
1510,4,1514,2/1/2020,delivered,YT9049412-M7S7
1510,4,1513,3/15/2020,delivered,QK2850033-W8S8
1510,4,1514,1/14/2020,delivered,UZ4551640-Y2O9
1510,4,1514,2/28/2020,failed,RW5648870-J7G2
1510,4,1511,3/8/2020,delivered,HP7416525-W9E7
1510,4,1514,1/17/2020,bounce,DV3786354-J5B9
1510,4,1514,3/22/2020,bounce,DQ6386906-S0A9
1510,4,1514,4/16/2020,delivered,YD5116078-W6I0
1510,4,1510,2/22/2020,delivered,YN2154843-N0D6
1510,4,1510,2/3/2020,delivered,NW0764483-Q6G7
1510,4,1514,1/25/2020,delivered,BS1957134-S9Z0
1510,4,1514,3/24/2020,delivered,PX6024665-J1Z0
1510,4,1510,4/20/2020,delivered,IX6200848-A5L3
1510,4,1514,1/19/2020,bounce,TU8051494-V0G7
1510,4,1510,2/5/2020,delivered,EP5200968-P2B2
1510,4,1514,4/3/2020,delivered,CW1998196-W9Y9
1510,4,1514,1/26/2020,delivered,US1793858-T4Q7
1510,4,1513,2/5/2020,delivered,OL0511897-O1X2
1510,4,1513,2/26/2020,delivered,QX1581533-S2X3
1510,4,1510,2/17/2020,delivered,DZ5231905-A7X9
1510,4,1513,3/1/2020,delivered,BQ1563864-Q8V9
1510,4,1513,4/4/2020,delivered,FU1412232-X1B1
1510,4,1511,1/18/2020,delivered,MK7045345-E9R1
1510,4,1514,4/17/2020,delivered,HV2543532-N2G0
1510,4,1513,2/1/2020,delivered,JW6822363-D8C4
1510,4,1511,1/30/2020,delivered,WF5198210-V8R3
1510,4,1514,4/3/2020,delivered,EN5975200-X3I8
1510,4,1514,3/21/2020,delivered,EG1190416-E8N4
1510,4,1514,1/16/2020,delivered,PS8334194-Z8H4
1510,4,1511,1/30/2020,delivered,JA1112936-I0Q9
1510,4,1513,4/19/2020,delivered,OG1642433-N9P2
1510,4,1513,1/28/2020,delivered,DV5576380-I8O2
1510,4,1513,1/24/2020,delivered,ZJ1585484-Y3J7
1510,4,1514,1/3/2020,delivered,PF8357551-P1P9
1510,4,1514,2/8/2020,delivered,QP0313589-J4R5
1510,4,1510,1/9/2020,delivered,YV0958337-G3I3
1510,4,1511,1/20/2020,delivered,OM5616927-V1P7
1510,4,1511,1/9/2020,delivered,CR3974181-V2N5
1510,4,1510,2/1/2020,delivered,KS1311971-V5J7
1510,4,1511,3/3/2020,bounce,MY1194661-E9R1
1510,4,1510,1/11/2020,delivered,RZ4796646-E5M1
1510,4,1513,1/23/2020,delivered,AB6584972-L8K9
1510,4,1510,4/7/2020,bounce,RO4535696-C1U3
1510,4,1510,2/18/2020,failed,ZB2512505-P7B8
1510,4,1514,3/26/2020,delivered,ZF5823170-K8M1
1510,4,1513,4/13/2020,delivered,EE2741979-R5V9
1510,4,1514,1/23/2020,delivered,BT7091779-D1V9
1510,4,1513,2/9/2020,delivered,TM3016482-X3R6
1510,4,1514,2/23/2020,bounce,XL2042651-S6M1
1510,4,1511,3/21/2020,delivered,PC6637625-X2B5
1510,4,1510,4/14/2020,delivered,QQ9302628-F3U3
1510,4,1513,3/2/2020,delivered,TA3761704-O4T7
1510,4,1513,4/15/2020,failed,SR5931099-K4Q5
1510,4,1514,2/22/2020,delivered,QM5091593-R7O3
1510,4,1510,2/18/2020,delivered,YM5733474-U4G4
1510,4,1514,1/18/2020,delivered,GN9673480-F5L2
1510,4,1511,4/18/2020,delivered,GP1091636-J9M8
1510,4,1511,4/3/2020,delivered,ID2263055-M0L8
1510,4,1510,1/11/2020,delivered,AC2086280-S1F4
1510,4,1514,4/6/2020,delivered,YC7790839-S0N3
1510,4,1511,1/28/2020,delivered,IX9098104-Q6U8
1510,4,1510,2/17/2020,failed,MG4927111-P5F5
1510,4,1514,3/15/2020,delivered,IO0338993-W1M0
1510,4,1511,2/11/2020,delivered,FF9706113-A6H6
1510,4,1513,1/3/2020,delivered,WJ7512460-Z2A4
1510,4,1514,4/17/2020,delivered,JQ9153873-X3S2
1510,4,1510,1/23/2020,failed,PB0249576-F8J7
1510,4,1511,4/21/2020,delivered,TD0022865-P2I5
1510,4,1510,4/15/2020,delivered,ZD0199656-G0X8
1510,4,1511,3/20/2020,delivered,EK7069381-K3T0
1510,4,1514,2/16/2020,bounce,HO1423801-B3K7
1510,4,1510,2/23/2020,delivered,UY3874211-S2U0
1510,4,1513,4/9/2020,delivered,WS8946255-L9L8
1510,4,1511,2/3/2020,delivered,ZD9771849-P0M3
1510,4,1511,3/6/2020,delivered,VA1189853-P7P5
1510,4,1511,4/4/2020,delivered,MO5580124-T6C8
1510,4,1510,4/16/2020,delivered,AQ4353629-S0B9
1510,4,1510,3/5/2020,bounce,BI8239654-G4V0
1510,4,1511,4/19/2020,delivered,BE9080613-J4R3
1510,4,1513,2/23/2020,failed,LF8800851-Q4Y4
1510,4,1513,3/7/2020,delivered,SL7692672-I1E1
1510,4,1511,2/5/2020,delivered,YH1002326-Y8R1
1510,4,1510,1/4/2020,delivered,YF4143794-I3F3
1510,4,1514,3/7/2020,delivered,JQ1090828-G3I2
1510,4,1514,4/1/2020,delivered,IT0204257-O5G6
1510,4,1513,1/4/2020,delivered,VL9877550-W0G6
1510,4,1514,4/9/2020,delivered,YZ0012466-C3K1
1510,4,1513,4/8/2020,delivered,HM4571256-Q3P6
1510,4,1514,4/19/2020,delivered,UC5200936-R6S8
1510,4,1513,4/10/2020,delivered,ME9673896-K8O9
1510,4,1513,2/18/2020,bounce,XL3901475-F2N1
1510,4,1510,3/5/2020,delivered,YM0668537-K2F1
1510,4,1514,1/2/2020,delivered,ER4538763-L0E0
1510,4,1514,3/15/2020,delivered,UQ4390244-J3Z5
1510,4,1510,4/6/2020,delivered,GW9381657-I5D2
1510,4,1513,3/9/2020,delivered,DZ3087716-O3H8
1510,4,1514,1/23/2020,bounce,KP0751188-P4L3
1510,4,1510,2/10/2020,delivered,HE3848865-A2W8
1510,4,1513,1/26/2020,failed,AS2266558-Z9V1
1510,4,1510,4/22/2020,delivered,QJ8425676-A7I4
1510,4,1514,1/14/2020,delivered,TY6155790-A6R9
1510,4,1511,1/28/2020,delivered,MD5031695-X3I1
1510,4,1511,3/9/2020,delivered,ME5650691-X1M4
1510,4,1514,4/15/2020,failed,ET1250701-W8W8
1510,4,1510,4/4/2020,delivered,JM2926237-N2E1
1510,4,1511,1/1/2020,failed,PT4167717-B6H3
1510,4,1513,2/21/2020,delivered,UP4159463-S3I4
1510,4,1514,4/3/2020,delivered,TQ3149360-Z1W5
1510,4,1513,2/10/2020,delivered,JO2659894-U6Q4
1510,4,1511,3/28/2020,delivered,DF6128888-L6L2
1510,4,1511,2/6/2020,delivered,BK9965755-R7W5
1510,4,1514,3/6/2020,delivered,VM7900001-S5L6
1510,4,1513,4/8/2020,bounce,NQ7121326-K5C8
1510,4,1514,3/27/2020,delivered,AF3946175-R0E2
1510,4,1513,3/2/2020,delivered,BC0241629-M6T6
1510,4,1513,3/3/2020,delivered,IC1491204-D5K5
1510,4,1514,4/11/2020,delivered,AM5669318-G2F5
1510,4,1510,2/24/2020,delivered,DZ1556258-E1S2
1510,4,1511,2/28/2020,delivered,EV3951674-P4D5
1510,4,1513,1/17/2020,delivered,TG6656527-V6H0
1510,4,1513,1/8/2020,bounce,XE9140717-I7Y3
1510,4,1510,4/9/2020,delivered,AL5906398-F5S4
1510,4,1510,4/1/2020,delivered,SP9367906-T3U7
1510,4,1514,1/24/2020,delivered,XF1883384-J7Y5
1510,4,1511,3/8/2020,delivered,KX3934615-O9R6
1510,4,1510,2/21/2020,delivered,AZ6224621-O6L9
1510,4,1510,3/17/2020,bounce,JJ5327252-M9M3
1510,4,1510,4/7/2020,bounce,EU2336958-T9G6
1510,4,1511,2/29/2020,delivered,NW7826516-P3K2
1510,4,1510,2/19/2020,delivered,YV4454289-N1A1
1510,4,1514,1/4/2020,delivered,JK3259842-Q9F9
1510,4,1514,4/17/2020,delivered,YU5545833-A3A9
1510,4,1510,1/7/2020,delivered,WJ8539075-Y8P1
1510,4,1511,2/5/2020,delivered,PI8630200-A2Q5
1510,4,1511,3/3/2020,delivered,IT8486182-Y7W4
1510,4,1510,3/20/2020,delivered,EL5954959-L2E3
1510,4,1510,3/18/2020,delivered,OP9967082-I4M4
1510,4,1510,1/27/2020,delivered,QD8502946-Y1D9
1510,4,1510,2/13/2020,delivered,VF9914829-U9T7
1510,4,1511,4/2/2020,delivered,NH9541199-D4L5
1510,4,1514,1/3/2020,delivered,NK1767642-R8R4
1510,4,1514,1/31/2020,delivered,MX5743470-F9Y6
1510,4,1510,1/16/2020,delivered,ER7656400-V4E8
1510,4,1514,3/28/2020,delivered,FN7047853-Y6H7
1510,4,1513,3/18/2020,delivered,OL6258588-R9A3
1510,4,1510,3/11/2020,delivered,FA4958302-V7K8
1510,4,1514,1/30/2020,delivered,XJ9284273-H2K1
1510,4,1514,4/5/2020,bounce,ZM7028471-P9W0
1510,4,1513,4/20/2020,delivered,EC7118815-P0R1
1510,4,1514,4/10/2020,delivered,XQ6695622-P0F6
1510,4,1511,4/4/2020,delivered,CA0176791-T3H4
1510,4,1514,2/8/2020,failed,RE4440817-C6E7
1510,4,1511,4/14/2020,delivered,XR8728156-O7D4
1510,4,1510,2/20/2020,delivered,QN4866384-N3K9
1510,4,1510,1/12/2020,delivered,WY9872793-E4V0
1510,4,1510,1/16/2020,delivered,XH1740913-Q7U2
1510,4,1511,2/21/2020,bounce,UQ0733371-K5A5
1510,4,1511,2/29/2020,delivered,ZA5841111-R3L6
1510,4,1514,1/17/2020,delivered,WE0606756-Y9F2
1510,4,1510,2/7/2020,failed,YN1580226-A1O5
1510,4,1510,4/8/2020,delivered,DI6133491-O1L7
1510,4,1513,3/10/2020,failed,LX3918812-M9D5
1510,4,1511,4/4/2020,delivered,IG6911633-H1W5
1510,4,1510,1/11/2020,delivered,DD3379906-C0Q7
1510,4,1514,1/5/2020,delivered,BQ9499870-Q5M5
1510,4,1514,4/15/2020,delivered,TW1899955-L8S0
1510,4,1513,2/3/2020,delivered,JS8646095-B9F2
1510,4,1510,3/7/2020,failed,DR7284928-U2T9
1510,4,1511,1/2/2020,delivered,VP8342138-X0Q7
1510,4,1514,2/22/2020,failed,OW0376397-F2A2
1510,4,1514,3/9/2020,bounce,MT5798078-X2M7
1510,4,1510,4/22/2020,delivered,LO1129752-F0V3
1510,4,1511,4/18/2020,delivered,LN6779113-Y5G0
1510,4,1511,3/21/2020,delivered,YM0172380-W0I0
1510,4,1513,2/13/2020,delivered,CB7513407-D6T4
1510,4,1514,2/17/2020,delivered,BU4755409-O3A0
1510,4,1513,2/15/2020,delivered,PH2635092-L5E5
1510,4,1513,4/14/2020,delivered,GN3555615-C7E2
1510,4,1511,4/9/2020,delivered,VI0349631-J5N5
1510,4,1511,2/1/2020,delivered,EA6419736-I7J4
1510,4,1513,4/9/2020,bounce,SD0593957-F1M7
1510,4,1513,3/16/2020,delivered,QE7021833-W3N8
1510,4,1510,2/28/2020,delivered,XH1787293-Q3N6
